Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.8349211,195.1,-9.255436,-1.3403650019317865,-1.3403650019317865,1.0
20000,1.8596672,209.39622641509433,-6.804133,-1.365705648964306,-1.365705648964306,1.0
30000,1.8157442,187.56363636363636,-5.3496475,-1.4891418186101046,-1.4891418186101046,1.0
40000,1.8555461,131.19230769230768,-3.7824497,-1.0757076868262045,-1.0757076868262045,1.0
50000,1.8423682,111.21978021978022,-2.4247575,-1.2085560522564165,-1.2085560522564165,1.0
60000,1.8026224,112.32954545454545,-3.3282113,-1.1306954451243987,-1.1306954451243987,1.0
70000,1.7046373,129.0,-4.1476965,-1.351075362075459,-1.351075362075459,1.0
80000,1.801316,105.63829787234043,-2.4935105,-1.1589595848258505,-1.1589595848258505,1.0
90000,1.7069796,119.16666666666667,-3.7672238,-1.2510753399752952,-1.2510753399752952,1.0
100000,1.758327,97.51428571428572,-2.5110078,-1.182909443693341,-1.182909443693341,1.0
110000,1.6936675,83.30327868852459,-2.7316895,-1.1377008393530017,-1.1377008393530017,1.0
120000,1.7027432,73.9037037037037,-2.4536784,-1.153995562924279,-1.153995562924279,1.0
130000,1.6972164,54.065934065934066,-1.6220288,-1.0794813216223822,-1.0794813216223822,1.0
140000,1.6625893,49.78125,-1.6808257,-1.036923961325859,-1.036923961325859,1.0
150000,1.6211642,49.84577114427861,-1.8111824,-1.0598477646337814,-1.0598477646337814,1.0
160000,1.6332457,45.21658986175115,-1.5862666,-1.0463170538986883,-1.0463170538986883,1.0
170000,1.6371075,46.55714285714286,-1.4664108,-1.0487523826814833,-1.0487523826814833,1.0
180000,1.650629,45.66355140186916,-1.2535994,-1.0612551474543375,-1.0612551474543375,1.0
190000,1.6244724,50.628865979381445,-1.3296815,-1.0450082512706826,-1.0450082512706826,1.0
200000,1.655066,52.297872340425535,-1.2132154,-1.038581928198642,-1.038581928198642,1.0
210000,1.6050162,56.53448275862069,-1.2794006,-1.097940242581669,-1.097940242581669,1.0
220000,1.6321872,54.92613636363637,-1.2463554,-1.0518318236890165,-1.0518318236890165,1.0
230000,1.6048888,58.432748538011694,-1.2390407,-1.0749473845401005,-1.0749473845401005,1.0
240000,1.6082172,57.43975903614458,-1.2140294,-1.0668638706745872,-1.0668638706745872,1.0
250000,1.4541262,68.5,-1.4389379,-1.1743149066696297,-1.1743149066696297,1.0
260000,1.5938377,52.42857142857143,-1.162013,-0.9893098983627099,-0.9893098983627099,1.0
270000,1.6255215,58.56976744186046,-1.1198559,-1.0511779215100199,-1.0511779215100199,1.0
280000,1.509105,71.17985611510791,-1.2705994,-1.1675525441658583,-1.1675525441658583,1.0
290000,1.416992,75.62307692307692,-1.3738475,-1.2271046563982964,-1.2271046563982964,1.0
300000,1.653862,57.31976744186046,-0.86685145,-1.058912798415783,-1.058912798415783,1.0
310000,1.4636058,69.20289855072464,-1.0690465,-1.1512302367164076,-1.1512302367164076,1.0
320000,1.4240296,81.0725806451613,-1.1215088,-1.1836585844677638,-1.1836585844677638,1.0
330000,1.4568839,74.48507462686567,-1.0834984,-1.1454925680560852,-1.1454925680560852,1.0
340000,1.4049431,92.27272727272727,-1.1004071,-1.1297535796960194,-1.1297535796960194,1.0
350000,1.5013671,104.72,-0.9672265,-1.191580023765564,-1.191580023765564,1.0
360000,1.4813629,110.47252747252747,-0.870947,-1.37170875687962,-1.37170875687962,1.0
370000,1.2677177,111.62962962962963,-1.0239773,-1.2628617772349604,-1.2628617772349604,1.0
380000,1.3648602,148.015873015873,-0.9480142,-1.5235678344484298,-1.5235678344484298,1.0
390000,1.2564317,169.3030303030303,-0.94170004,-1.5541080546284478,-1.5541080546284478,1.0
400000,1.6129569,170.5084745762712,-0.7186387,-1.2984159066090508,-1.2984159066090508,1.0
410000,1.575715,126.43589743589743,-0.7105456,-1.1684234105534368,-1.1684234105534368,1.0
420000,1.3242786,159.34375,-0.8243234,-1.4727406974416226,-1.4727406974416226,1.0
430000,1.2892033,174.28846153846155,-0.8326778,-1.277346200381334,-1.277346200381334,1.0
440000,1.1040398,272.07894736842104,-0.9097803,-2.68164133758117,-2.68164133758117,1.0
450000,1.3262887,187.47272727272727,-0.8050939,-1.573105561733246,-1.573105561733246,1.0
460000,1.438341,188.8,-0.75102115,-1.4018356283505757,-1.4018356283505757,1.0
470000,1.3608776,204.63636363636363,-0.7485033,-1.5841964735226197,-1.5841964735226197,1.0
480000,1.1737039,203.9387755102041,-0.77183414,-1.582237619906664,-1.582237619906664,1.0
490000,1.3775467,194.45098039215685,-0.68399566,-1.5702432385262322,-1.5702432385262322,1.0
500000,1.6037264,171.48275862068965,-0.5935676,-1.140291546108359,-1.140291546108359,1.0
510000,1.4577329,185.74074074074073,-0.61555654,-1.2290075904918167,-1.2290075904918167,1.0
520000,1.539423,201.7872340425532,-0.5741871,-1.1731625143438578,-1.1731625143438578,1.0
530000,1.5853553,202.3921568627451,-0.5541736,-1.1967080175876617,-1.1967080175876617,1.0
540000,1.4509603,207.70212765957447,-0.54883206,-1.096783362949888,-1.096783362949888,1.0
550000,1.223692,222.46511627906978,-0.59076536,-1.2843524497889338,-1.2843524497889338,1.0
560000,1.4379224,230.2888888888889,-0.55549186,-1.554860962797766,-1.554860962797766,1.0
570000,1.3128055,230.72727272727272,-0.565406,-1.727195485560007,-1.727195485560007,1.0
580000,1.4513506,222.97727272727272,-0.5499997,-1.4954182495447723,-1.4954182495447723,1.0
590000,1.4636314,187.96226415094338,-0.51781696,-1.0359815019700263,-1.0359815019700263,1.0
600000,1.2913674,189.77777777777777,-0.55297065,-1.2904186254298244,-1.2904186254298244,1.0
610000,1.5623951,197.77551020408163,-0.5089532,-1.1022367580812804,-1.1022367580812804,1.0
620000,1.5039053,233.9268292682927,-0.4933847,-1.1569366088000739,-1.1569366088000739,1.0
630000,1.5154134,198.41509433962264,-0.47035652,-0.9091269422609073,-0.9091269422609073,1.0
640000,1.5154619,187.8,-0.4869985,-1.0538720229268075,-1.0538720229268075,1.0
