Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
59790000,0.9530671,201.73529411764707,0.25508928,-0.032576473758501166,-0.032576473758501166,1.0
59800000,1.0140102,182.85185185185185,0.33991024,-0.0785666764886291,-0.0785666764886291,1.0
59810000,1.0087551,176.24561403508773,0.29423103,0.10365355546985354,0.10365355546985354,1.0
59820000,1.0150511,213.24444444444444,0.3847677,0.34409999199535535,0.34409999199535535,1.0
59830000,0.989826,196.0943396226415,0.3095324,0.19341508341285418,0.19341508341285418,1.0
59840000,0.99167854,189.8148148148148,0.34358302,0.3094188618772435,0.3094188618772435,1.0
59850000,0.9887015,179.96296296296296,0.19380206,0.08807998895645142,0.08807998895645142,1.0
59860000,0.9997891,191.0222222222222,0.21656205,0.13548443218072256,0.13548443218072256,1.0
59870000,0.99458075,189.55737704918033,0.19812998,0.1371266650656859,0.1371266650656859,1.0
59880000,1.0520846,197.3,0.32108748,0.5941199979186058,0.5941199979186058,1.0
59890000,1.0023401,211.64444444444445,0.1443088,0.12988694886798444,0.12988694886798444,1.0
59900000,1.0661526,202.87755102040816,0.22321217,0.2875791657716036,0.2875791657716036,1.0
59910000,1.0415947,214.45652173913044,0.18034607,0.05899572657777908,0.05899572657777908,1.0
59920000,0.96773124,180.0943396226415,0.23902817,0.24694717520812773,0.24694717520812773,1.0
59930000,1.0192137,222.95555555555555,0.2000268,0.45894221034314897,0.45894221034314897,1.0
59940000,1.0570102,201.54716981132074,0.17475224,0.3010226277247915,0.3010226277247915,1.0
59950000,1.0759809,172.62962962962962,0.17455898,0.15410369055138695,0.15410369055138695,1.0
59960000,1.0110859,210.80851063829786,0.15066133,0.015357424287085837,0.015357424287085837,1.0
59970000,0.95856106,195.23636363636365,0.29135144,0.3253490846265446,0.3253490846265446,1.0
59980000,1.0160371,187.8679245283019,0.11208873,0.049396225022819804,0.049396225022819804,1.0
59990000,0.98059344,195.0204081632653,0.21262544,0.26687346125135614,0.26687346125135614,1.0
60000000,0.9528776,201.84,0.19877535,0.19117998957633972,0.19117998957633972,1.0
60010000,1.0000647,203.14,0.2147982,0.300359167006551,0.300359167006551,1.0
60020000,1.0194615,186.62,0.22495775,0.256764702352823,0.256764702352823,1.0
60030000,1.004339,235.26190476190476,0.1116606,-0.11929756730068021,-0.11929756730068021,1.0
60040000,0.9655055,228.88095238095238,0.20670906,0.437460450932037,0.437460450932037,1.0
60050000,0.956978,230.06521739130434,0.18147285,0.21550453860651364,0.21550453860651364,1.0
60060000,0.9860172,201.6530612244898,0.20367806,0.18991599172353746,0.18991599172353746,1.0
60070000,1.0208716,178.34426229508196,0.23444918,0.17069151391417292,0.17069151391417292,1.0
60080000,0.97205,202.1219512195122,0.23862103,0.3382954455234788,0.3382954455234788,1.0
60090000,0.9263615,218.72,0.30184862,0.449975990653038,0.449975990653038,1.0
60100000,1.0092318,207.97826086956522,0.2722821,0.4807260852792989,0.4807260852792989,1.0
60110000,0.91070443,211.625,0.228392,0.11489581502974033,0.11489581502974033,1.0
60120000,0.96080345,195.76470588235293,0.22872119,0.32661568241960864,0.32661568241960864,1.0
60130000,0.9280654,208.86274509803923,0.255838,0.30350799202919004,0.30350799202919004,1.0
60140000,0.9653404,204.17777777777778,0.1847061,0.2798177619775136,0.2798177619775136,1.0
60150000,0.985973,192.09615384615384,0.22272132,0.2331169660923616,0.2331169660923616,1.0
60160000,0.9607313,189.5818181818182,0.2716805,0.3959481390538039,0.3959481390538039,1.0
60170000,0.943798,194.73076923076923,0.26313597,0.42033583347527487,0.42033583347527487,1.0
60180000,0.9729746,205.39583333333334,0.19238627,0.16289582444975773,0.16289582444975773,1.0
60190000,0.94625145,196.45098039215685,0.2306971,0.44384312863443415,0.44384312863443415,1.0
60200000,0.99583906,204.25531914893617,0.18360682,0.36373190581798553,0.36373190581798553,1.0
60210000,0.99222714,206.4255319148936,0.24704646,0.48874892040770107,0.48874892040770107,1.0
60220000,0.9464885,218.38297872340425,0.20812312,0.43445531548337735,0.43445531548337735,1.0
60230000,1.0015247,180.94545454545454,0.25015038,0.2658545423637737,0.2658545423637737,1.0
60240000,0.9764761,186.16363636363636,0.29651082,0.3241629581208582,0.3241629581208582,1.0
60250000,0.9753786,195.0204081632653,0.30700803,0.5195359846949578,0.5195359846949578,1.0
60260000,0.97333086,188.07843137254903,0.29638022,0.44751762993195476,0.44751762993195476,1.0
60270000,0.9886504,230.15555555555557,0.09837405,0.05175553725825416,0.05175553725825416,1.0
60280000,0.9884965,184.55357142857142,0.32339934,0.6253018045967276,0.6253018045967276,1.0
60290000,0.993023,165.30357142857142,0.27564597,0.36670356190630365,0.36670356190630365,1.0
60300000,1.0055627,173.23636363636365,0.2214326,0.35196070639150484,0.35196070639150484,1.0
60310000,0.97664416,202.55769230769232,0.18620634,0.019896150208436526,0.019896150208436526,1.0
60320000,0.9365619,182.8148148148148,0.2792386,0.6218641321614103,0.6218641321614103,1.0
60330000,0.9356363,195.2156862745098,0.21058595,0.41321922494814944,0.41321922494814944,1.0
60340000,0.99187547,206.6875,0.15369456,0.32735415641218424,0.32735415641218424,1.0
60350000,0.9741353,180.40384615384616,0.26691315,0.4651884591350189,0.4651884591350189,1.0
60360000,0.9354595,241.90697674418604,0.19824764,0.15413332091910498,0.15413332091910498,1.0
60370000,0.9610153,198.77358490566039,0.2648842,0.45183395158569767,0.45183395158569767,1.0
60380000,0.9829631,175.26415094339623,0.2469532,0.40663773074464976,0.40663773074464976,1.0
60390000,0.96000695,181.17307692307693,0.27065578,0.3932301753534461,0.3932301753534461,1.0
60400000,0.8953729,201.9433962264151,0.26548,0.361265378502699,0.361265378502699,1.0
60410000,0.9821612,165.17741935483872,0.26173425,0.4481523734709573,0.4481523734709573,1.0
60420000,0.941474,156.79365079365078,0.3246763,0.5502888773168836,0.5502888773168836,1.0
60430000,0.96198523,187.66037735849056,0.34708273,0.5789811245675357,0.5789811245675357,1.0
60440000,0.9431712,193.1346153846154,0.33003902,0.640984300012682,0.640984300012682,1.0
60450000,0.9163632,156.484375,0.22816932,0.3026843657717109,0.3026843657717109,1.0
60460000,0.9381219,158.37878787878788,0.3219642,0.4502161226926311,0.4502161226926311,1.0
60470000,0.92270714,177.30232558139534,0.273401,0.43641665764153004,0.43641665764153004,1.0
60480000,0.93865854,192.2295081967213,0.2852493,0.398396655668815,0.398396655668815,1.0
60490000,0.9985395,170.03773584905662,0.2941693,0.4539777595135901,0.4539777595135901,1.0
60500000,0.9567277,203.50943396226415,0.25383347,0.38706412714607313,0.38706412714607313,1.0
60510000,0.9501045,153.515625,0.30620626,0.400146855507046,0.400146855507046,1.0
60520000,0.9719264,216.0,0.24614139,0.4509674341872681,0.4509674341872681,1.0
60530000,0.9007879,207.91836734693877,0.21289305,0.5384367254315591,0.5384367254315591,1.0
60540000,0.9404953,163.8360655737705,0.21722403,0.2017344109347609,0.2017344109347609,1.0
60550000,0.9086938,162.80327868852459,0.3302908,0.5406354749875684,0.5406354749875684,1.0
60560000,0.92699,156.52307692307693,0.30184677,0.3300593690946698,0.3300593690946698,1.0
60570000,0.8724804,193.75471698113208,0.29143143,0.4677925805250804,0.4677925805250804,1.0
60580000,0.910044,178.83018867924528,0.27975756,0.4661230691350423,0.4661230691350423,1.0
60590000,0.8713436,174.45454545454547,0.31620437,0.4533199879256162,0.4533199879256162,1.0
60600000,0.89327276,184.0,0.23218523,0.15406205710665932,0.15406205710665932,1.0
60610000,0.89021116,157.8360655737705,0.25974643,0.2541870878588769,0.2541870878588769,1.0
60620000,0.9040361,174.19642857142858,0.2769486,0.3822872663086111,0.3822872663086111,1.0
60630000,0.8875321,167.36065573770492,0.29973853,0.49078359027377894,0.49078359027377894,1.0
60640000,0.9050834,167.2037037037037,0.26573533,0.3905236284841191,0.3905236284841191,1.0
60650000,0.9290264,192.1818181818182,0.25851512,0.31001090014522725,0.31001090014522725,1.0
60660000,0.92130655,167.0,0.35748366,0.5642032193080071,0.5642032193080071,1.0
60670000,0.9362684,171.50877192982455,0.30806682,0.521182446103347,0.521182446103347,1.0
60680000,0.9095829,180.16666666666666,0.23647846,0.23418544246391818,0.23418544246391818,1.0
60690000,0.89744234,183.39622641509433,0.25291753,0.20619621872901917,0.20619621872901917,1.0
60700000,0.9185306,177.56363636363636,0.22664651,0.446192578861007,0.446192578861007,1.0
60710000,0.9411023,191.74074074074073,0.26450965,0.6369381656700914,0.6369381656700914,1.0
60720000,0.91455156,158.67741935483872,0.3141267,0.511667734432605,0.511667734432605,1.0
60730000,0.89173937,191.45098039215685,0.24045868,0.24214399605989456,0.24214399605989456,1.0
60740000,0.8801527,158.43076923076924,0.3457627,0.4917046058636445,0.4917046058636445,1.0
60750000,0.911047,185.01818181818183,0.36641422,0.44502907639200034,0.44502907639200034,1.0
60760000,0.8846193,176.38888888888889,0.29321507,0.41696362305771223,0.41696362305771223,1.0
60770000,0.9347249,175.1578947368421,0.3196516,0.4197071370269571,0.4197071370269571,1.0
60780000,0.8848904,180.17241379310346,0.25457272,0.4331758489896511,0.4331758489896511,1.0
60790000,0.90113616,158.48387096774192,0.3525247,0.4784515983154697,0.4784515983154697,1.0
60800000,0.8862264,162.88235294117646,0.2409715,0.4802422967667763,0.4802422967667763,1.0
60810000,0.94915265,190.0655737704918,0.34583735,0.3017758495848754,0.3017758495848754,1.0
60820000,0.91070384,156.96666666666667,0.29759815,0.4800225690968575,0.4800225690968575,1.0
60830000,0.8939281,166.83333333333334,0.31375337,0.6955803173487304,0.6955803173487304,1.0
60840000,0.91625583,170.83050847457628,0.32519433,0.5480237168780828,0.5480237168780828,1.0
60850000,0.9118923,210.93617021276594,0.22563402,0.1010553037866633,0.1010553037866633,1.0
60860000,0.9021125,180.1578947368421,0.26702976,0.32193331995554136,0.32193331995554136,1.0
60870000,0.92462337,169.87272727272727,0.33373907,0.49425816535949707,0.49425816535949707,1.0
60880000,0.90250915,175.32758620689654,0.26445955,0.2984930919162158,0.2984930919162158,1.0
60890000,0.91087437,180.18867924528303,0.2496332,0.3222452756368889,0.3222452756368889,1.0
60900000,0.8762968,196.67924528301887,0.27939945,0.41913206284900884,0.41913206284900884,1.0
60910000,0.91215533,170.43103448275863,0.18121241,0.30487239360809326,0.30487239360809326,1.0
60920000,0.870902,172.1206896551724,0.3523566,0.6485172343151323,0.6485172343151323,1.0
60930000,0.8834824,172.64912280701753,0.2732877,0.3283263076292841,0.3283263076292841,1.0
